,Artist,Song Name,GPE,Line,Line Before,Line After
159,Nicki Minaj,Fuckin’ Problems,Pittsburgh,"Ohio, Pittsburgh, got St. Louis on deck","I\'m a Detroit player, man, it\'s North-South Cack","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks"
160,Nicki Minaj,Fuckin’ Problems,St. Louis,"Ohio, Pittsburgh, got St. Louis on deck","I\'m a Detroit player, man, it\'s North-South Cack","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks"
161,Nicki Minaj,Fuckin’ Problems,Delaware,"It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Ohio, Pittsburgh, got St. Louis on deck","It\'s Queens, Brooklyn, and yeah, they wildin\'"
162,Nicki Minaj,Fuckin’ Problems,Connecticut,"It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Ohio, Pittsburgh, got St. Louis on deck","It\'s Queens, Brooklyn, and yeah, they wildin\'"
163,Nicki Minaj,Fuckin’ Problems,New Jersey,"It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Ohio, Pittsburgh, got St. Louis on deck","It\'s Queens, Brooklyn, and yeah, they wildin\'"
164,Nicki Minaj,Fuckin’ Problems,Queens,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island"
165,Nicki Minaj,Fuckin’ Problems,Brooklyn,"It\'s Queens, Brooklyn, and yeah, they wildin\'","It\'s Delaware, Connecticut, it\'s New Jersey got hella bricks","Bronx, Harlem, and Staten Island"
166,Nicki Minaj,Fuckin’ Problems,Bronx,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",
167,Nicki Minaj,Fuckin’ Problems,Harlem,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",
168,Nicki Minaj,Fuckin’ Problems,Staten Island,"Bronx, Harlem, and Staten Island","It\'s Queens, Brooklyn, and yeah, they wildin\'",
169,Nicki Minaj,Fuckin’ Problems,Detroit,Boy toy named Troy used to live in Detroit,[Verse 1: Nicki Minaj],"Bi-big dope dealer money, he was gettin' some coins"
170,Nicki Minaj,Fuckin’ Problems,Clinton,"Niggas want my time, call me Clinton, I\'m billin\' these niggas",Ain\'t feelin\' these niggas,[Chorus: Detail]
